Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),DINING_ROOM:Zone Mean Air Temperature [C](Hourly),KITCHEN:Zone Mean Air Temperature [C](Hourly),LIVING_ROOM:Zone Mean Air Temperature [C](Hourly),HALL:Zone Mean Air Temperature [C](Hourly),BATHROOM:Zone Mean Air Temperature [C](Hourly),WC:Zone Mean Air Temperature [C](Hourly),BEDROOM2:Zone Mean Air Temperature [C](Hourly),BEDROOM1:Zone Mean Air Temperature [C](Hourly),BEDROOM3:Zone Mean Air Temperature [C](Hourly),LANDING:Zone Mean Air Temperature [C](Hourly),ROOF:Zone Mean Air Temperature [C](Hourly) 
 01/06  18:00:00,8.299999999999999,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.96082116111702 
 01/06  19:00:00,8.299999999999999,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.954105341040859 
 01/06  20:00:00,8.008333333333333,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.935704299220029 
 01/06  21:00:00,7.158333333333334,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.876478877313976 
 01/06  22:00:00,6.700000000000002,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.82001295132564 
 01/06  23:00:00,8.625,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.90279399528546 
 01/06  24:00:00,9.358333333333335,21.0,21.0,21.0,21.0,21.0,21.0,21.000000000000005,21.0,21.0,21.0,16.982793198401806 
 01/07  01:00:00,9.191666666666667,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.953227517010324 
 01/07  02:00:00,9.108333333333333,21.0,21.0,21.0,21.0,21.0,21.0,20.999999999999998,21.0,21.0,21.0,16.93896711683831 
 01/07  03:00:00,7.266666666666667,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.810576485503267 
 01/07  04:00:00,6.45,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.69376871667332 
 01/07  05:00:00,6.991666666666667,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.692133997532229 
 01/07  06:00:00,7.841666666666666,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.71908382589373 
 01/07  07:00:00,8.008333333333333,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.725166786249159 
 01/07  08:00:00,8.441666666666667,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.725046004996114 
 01/07  09:00:00,8.9,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.750609803878584 
 01/07  10:00:00,9.541666666666666,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.782575070269936 
 01/07  11:00:00,8.716666666666665,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,16.759994548693585 
